Statistical profiling result from isolate-0xffffbc470000-27033-v8.log, (13215 ticks, 0 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  JS: +peg$parseCycle /home/ec2-user/jssm/dist/jssm.es5.nonmin.cjs:11946:28
      1    0.0%    0.0%  JS: +makeTransition /home/ec2-user/jssm/dist/jssm.es5.nonmin.cjs:20682:24
      1    0.0%    0.0%  JS: +compile_rule_handler /home/ec2-user/jssm/dist/jssm.es5.nonmin.cjs:20827:30
      1    0.0%    0.0%  JS: +compile_rule_handle_transition /home/ec2-user/jssm/dist/jssm.es5.nonmin.cjs:20816:40
      1    0.0%    0.0%  JS: +<anonymous> /home/ec2-user/jssm/dist/jssm.es5.nonmin.cjs:20956:14
      1    0.0%    0.0%  JS: +<anonymous> /home/ec2-user/jssm/dist/jssm.es5.nonmin.cjs:20788:15
      1    0.0%    0.0%  JS: *peg$parseLineComment /home/ec2-user/jssm/dist/jssm.es5.nonmin.cjs:3094:34
      1    0.0%    0.0%  JS: *peg$parseForwardLightArrow /home/ec2-user/jssm/dist/jssm.es5.nonmin.cjs:1508:40
      1    0.0%    0.0%  JS: *peg$parseBackTildeArrow /home/ec2-user/jssm/dist/jssm.es5.nonmin.cjs:1828:37

 [C++]:
   ticks  total  nonlib   name
   3441   26.0%   64.9%  __GI___munmap
    333    2.5%    6.3%  __GI___mmap
    291    2.2%    5.5%  __GI___lll_lock_wake
    240    1.8%    4.5%  __GI___libc_write
    234    1.8%    4.4%  fputc
     49    0.4%    0.9%  __GI___madvise
     31    0.2%    0.6%  _int_free
     25    0.2%    0.5%  _int_malloc
     25    0.2%    0.5%  __GI___libc_malloc
     23    0.2%    0.4%  _IO_fwrite
     18    0.1%    0.3%  __GI___memset_generic
     17    0.1%    0.3%  std::ostream::put(char)@@GLIBCXX_3.4
     16    0.1%    0.3%  __GI___pthread_cond_signal
     12    0.1%    0.2%  std::ostream::sentry::sentry(std::ostream&)@@GLIBCXX_3.4
     10    0.1%    0.2%  unlink_chunk.constprop.0
      8    0.1%    0.2%  std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)@@GLIBCXX_3.4
      8    0.1%    0.2%  malloc_consolidate
      8    0.1%    0.2%  _init
      7    0.1%    0.1%  isprint
      5    0.0%    0.1%  new_do_write
      5    0.0%    0.1%  __GI___pthread_disable_asynccancel
      5    0.0%    0.1%  __GI___memcpy_sve
      5    0.0%    0.1%  __GI___libc_free
      4    0.0%    0.1%  __GI___printf_fp_l
      4    0.0%    0.1%  _IO_fflush
      3    0.0%    0.1%  std::ostream& std::ostream::_M_insert<long>(long)@@GLIBCXX_3.4.9
      3    0.0%    0.1%  __GI___pthread_enable_asynccancel
      2    0.0%    0.0%  std::ostream::flush()@@GLIBCXX_3.4
      2    0.0%    0.0%  std::locale::id::_M_id() const@@GLIBCXX_3.4
      2    0.0%    0.0%  std::_Rb_tree_rebalance_for_erase(std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)@@GLIBCXX_3.4
      2    0.0%    0.0%  __vfprintf_internal
      2    0.0%    0.0%  __strchrnul
      2    0.0%    0.0%  __GI_memcpy
      2    0.0%    0.0%  __GI___strlen_asimd
      2    0.0%    0.0%  __GI___pthread_mutex_unlock
      2    0.0%    0.0%  __GI___libc_read
      2    0.0%    0.0%  __GI___clock_gettime
      2    0.0%    0.0%  _IO_file_sync@@GLIBC_2.17
      1    0.0%    0.0%  syscall
      1    0.0%    0.0%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<unsigned long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, unsigned long) const@@GLIBCXX_3.4
      1    0.0%    0.0%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const@@GLIBCXX_3.4
      1    0.0%    0.0%  exp2@GLIBC_2.17
      1    0.0%    0.0%  __mpn_divrem
      1    0.0%    0.0%  __GI_strlen
      1    0.0%    0.0%  __GI___lll_lock_wait_private
      1    0.0%    0.0%  _IO_padn
      1    0.0%    0.0%  _IO_file_write@@GLIBC_2.17

 [Summary]:
   ticks  total  nonlib   name
    441    3.3%    8.3%  JavaScript
   4861   36.8%   91.7%  C++
   3277   24.8%   61.8%  GC
   7913   59.9%          Shared libraries

 [C++ entry points]:
   ticks    cpp   total   name
    575   35.1%    4.4%  __GI___munmap
    332   20.3%    2.5%  __GI___mmap
    176   10.7%    1.3%  fputc
    173   10.6%    1.3%  __GI___lll_lock_wake
    156    9.5%    1.2%  __GI___libc_write
     49    3.0%    0.4%  __GI___madvise
     21    1.3%    0.2%  _int_malloc
     20    1.2%    0.2%  __GI___libc_malloc
     18    1.1%    0.1%  __GI___memset_generic
     17    1.0%    0.1%  _IO_fwrite
     13    0.8%    0.1%  std::ostream::put(char)@@GLIBCXX_3.4
     10    0.6%    0.1%  unlink_chunk.constprop.0
      8    0.5%    0.1%  std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)@@GLIBCXX_3.4
      7    0.4%    0.1%  std::ostream::sentry::sentry(std::ostream&)@@GLIBCXX_3.4
      7    0.4%    0.1%  malloc_consolidate
      7    0.4%    0.1%  _init
      7    0.4%    0.1%  __GI___pthread_cond_signal
      5    0.3%    0.0%  isprint
      5    0.3%    0.0%  __GI___memcpy_sve
      4    0.2%    0.0%  new_do_write
      4    0.2%    0.0%  _int_free
      4    0.2%    0.0%  __GI___pthread_disable_asynccancel
      2    0.1%    0.0%  std::locale::id::_M_id() const@@GLIBCXX_3.4
      2    0.1%    0.0%  __GI_memcpy
      2    0.1%    0.0%  __GI___strlen_asimd
      2    0.1%    0.0%  __GI___libc_read
      2    0.1%    0.0%  _IO_file_sync@@GLIBC_2.17
      2    0.1%    0.0%  _IO_fflush
      1    0.1%    0.0%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<unsigned long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, unsigned long) const@@GLIBCXX_3.4
      1    0.1%    0.0%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const@@GLIBCXX_3.4
      1    0.1%    0.0%  std::ostream::flush()@@GLIBCXX_3.4
      1    0.1%    0.0%  std::ostream& std::ostream::_M_insert<long>(long)@@GLIBCXX_3.4.9
      1    0.1%    0.0%  __GI___pthread_enable_asynccancel
      1    0.1%    0.0%  __GI___lll_lock_wait_private
      1    0.1%    0.0%  __GI___clock_gettime
      1    0.1%    0.0%  _IO_padn
      1    0.1%    0.0%  _IO_file_write@@GLIBC_2.17

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
   7901   59.8%  /usr/bin/node
   7133   90.3%    JS: *<anonymous> /home/ec2-user/jssm/dist/jssm.es5.nonmin.cjs:20956:14
   7133  100.0%      /usr/bin/node
   7133  100.0%        JS: ~compile /home/ec2-user/jssm/dist/jssm.es5.nonmin.cjs:20922:17
   7133  100.0%          JS: ~make /home/ec2-user/jssm/dist/jssm.es5.nonmin.cjs:21024:14
   7133  100.0%            JS: ~sm /home/ec2-user/jssm/dist/jssm.es5.nonmin.cjs:24708:12

   3441   26.0%  __GI___munmap
    574   16.7%    JS: *<anonymous> /home/ec2-user/jssm/dist/jssm.es5.nonmin.cjs:20956:14
    574  100.0%      /usr/bin/node
    574  100.0%        JS: ~compile /home/ec2-user/jssm/dist/jssm.es5.nonmin.cjs:20922:17
    574  100.0%          JS: ~make /home/ec2-user/jssm/dist/jssm.es5.nonmin.cjs:21024:14
    574  100.0%            JS: ~sm /home/ec2-user/jssm/dist/jssm.es5.nonmin.cjs:24708:12

    333    2.5%  __GI___mmap
    332   99.7%    JS: *<anonymous> /home/ec2-user/jssm/dist/jssm.es5.nonmin.cjs:20956:14
    332  100.0%      /usr/bin/node
    332  100.0%        JS: ~compile /home/ec2-user/jssm/dist/jssm.es5.nonmin.cjs:20922:17
    332  100.0%          JS: ~make /home/ec2-user/jssm/dist/jssm.es5.nonmin.cjs:21024:14
    332  100.0%            JS: ~sm /home/ec2-user/jssm/dist/jssm.es5.nonmin.cjs:24708:12

    291    2.2%  __GI___lll_lock_wake
     14    4.8%    JS: *peg$parseTermList /home/ec2-user/jssm/dist/jssm.es5.nonmin.cjs:19458:31
     14  100.0%      JS: ~peg$parseDocument /home/ec2-user/jssm/dist/jssm.es5.nonmin.cjs:576:31
     14  100.0%        JS: ~peg$parse /home/ec2-user/jssm/dist/jssm.es5.nonmin.cjs:373:19
     14  100.0%          JS: ~wrap_parse /home/ec2-user/jssm/dist/jssm.es5.nonmin.cjs:20772:20
     14  100.0%            JS: ~make /home/ec2-user/jssm/dist/jssm.es5.nonmin.cjs:21024:14
     13    4.5%    JS: +peg$parseSubexp /home/ec2-user/jssm/dist/jssm.es5.nonmin.cjs:12182:29
      6   46.2%      JS: +peg$parseSubexp /home/ec2-user/jssm/dist/jssm.es5.nonmin.cjs:12182:29
      4   66.7%        JS: *peg$parseTermList /home/ec2-user/jssm/dist/jssm.es5.nonmin.cjs:19458:31
      4  100.0%          JS: ~peg$parseDocument /home/ec2-user/jssm/dist/jssm.es5.nonmin.cjs:576:31
      4  100.0%            JS: ~peg$parse /home/ec2-user/jssm/dist/jssm.es5.nonmin.cjs:373:19
      1   16.7%        JS: ^peg$parseExp /home/ec2-user/jssm/dist/jssm.es5.nonmin.cjs:12278:26
      1  100.0%          JS: ^peg$parseTerm /home/ec2-user/jssm/dist/jssm.es5.nonmin.cjs:19435:27
      1  100.0%            JS: ^peg$parseTermList /home/ec2-user/jssm/dist/jssm.es5.nonmin.cjs:19458:31
      1   16.7%        JS: +peg$parseExp /home/ec2-user/jssm/dist/jssm.es5.nonmin.cjs:12278:26
      1  100.0%          JS: +peg$parseTerm /home/ec2-user/jssm/dist/jssm.es5.nonmin.cjs:19435:27
      1  100.0%            JS: ~peg$parseTermList /home/ec2-user/jssm/dist/jssm.es5.nonmin.cjs:19458:31
      4   30.8%      JS: ^peg$parseExp /home/ec2-user/jssm/dist/jssm.es5.nonmin.cjs:12278:26
      4  100.0%        JS: ^peg$parseTerm /home/ec2-user/jssm/dist/jssm.es5.nonmin.cjs:19435:27
      4  100.0%          JS: +peg$parseTermList /home/ec2-user/jssm/dist/jssm.es5.nonmin.cjs:19458:31
      4  100.0%            JS: ~peg$parseDocument /home/ec2-user/jssm/dist/jssm.es5.nonmin.cjs:576:31
      3   23.1%      JS: *peg$parseTermList /home/ec2-user/jssm/dist/jssm.es5.nonmin.cjs:19458:31
      3  100.0%        JS: ~peg$parseDocument /home/ec2-user/jssm/dist/jssm.es5.nonmin.cjs:576:31
