Statistical profiling result from isolate-0xffff99080000-27226-v8.log, (10871 ticks, 0 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  JS: *peg$parseArrowProbability /root/jssm/dist/jssm.es5.nonmin.cjs:10949:39
      1    0.0%    0.0%  JS: *peg$fail /root/jssm/dist/jssm.es5.nonmin.cjs:485:22

 [C++]:
   ticks  total  nonlib   name
   2278   21.0%   60.6%  __GI___munmap
    279    2.6%    7.4%  __GI___lll_lock_wake
    262    2.4%    7.0%  __GI___mmap
    161    1.5%    4.3%  __GI___libc_write
    148    1.4%    3.9%  fputc
     43    0.4%    1.1%  __GI___madvise
     26    0.2%    0.7%  __GI___pthread_cond_signal
     24    0.2%    0.6%  _int_malloc
     23    0.2%    0.6%  __GI___memset_generic
     21    0.2%    0.6%  _int_free
     17    0.2%    0.5%  __GI___libc_malloc
     13    0.1%    0.3%  std::ostream::sentry::sentry(std::ostream&)@@GLIBCXX_3.4
     12    0.1%    0.3%  _IO_fwrite
     11    0.1%    0.3%  std::ostream::put(char)@@GLIBCXX_3.4
     10    0.1%    0.3%  unlink_chunk.constprop.0
      9    0.1%    0.2%  _init
      8    0.1%    0.2%  __GI___libc_free
      7    0.1%    0.2%  std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)@@GLIBCXX_3.4
      6    0.1%    0.2%  syscall
      6    0.1%    0.2%  malloc_consolidate
      6    0.1%    0.2%  _IO_fflush
      3    0.0%    0.1%  std::_Rb_tree_rebalance_for_erase(std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)@@GLIBCXX_3.4
      3    0.0%    0.1%  __GI___printf_fp_l
      2    0.0%    0.1%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const@@GLIBCXX_3.4
