Statistical profiling result from isolate-0xffff8dec0000-27127-v8.log, (10696 ticks, 0 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     14    0.1%    0.4%  unlink_chunk.constprop.0
     12    0.1%    0.3%  _init
     10    0.1%    0.3%  std::ostream::sentry::sentry(std::ostream&)@@GLIBCXX_3.4
      5    0.0%    0.1%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)@@GLIBCXX_3.4.9
      4    0.0%    0.1%  syscall
      4    0.0%    0.1%  std::_Rb_tree_rebalance_for_erase(std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)@@GLIBCXX_3.4
      4    0.0%    0.1%  malloc_consolidate
      4    0.0%    0.1%  isprint
      4    0.0%    0.1%  __vfprintf_internal
      4    0.0%    0.1%  __GI___printf_fp_l
      4    0.0%    0.1%  __GI___libc_free
      3    0.0%    0.1%  std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)@@GLIBCXX_3.4
      3    0.0%    0.1%  __GI___strlen_asimd
      3    0.0%    0.1%  _IO_fflush
      2    0.0%    0.1%  __GI___pthread_disable_asynccancel
      2    0.0%    0.1%  __GI___libc_read
      1    0.0%    0.0%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<unsigned long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, unsigned long) const@@GLIBCXX_3.4
      1    0.0%    0.0%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const@@GLIBCXX_3.4
      1    0.0%    0.0%  std::ostream::flush()@@GLIBCXX_3.4
      1    0.0%    0.0%  std::__detail::_Prime_rehash_policy::_M_next_bkt(unsigned long) const@@GLIBCXX_3.4.18
      1    0.0%    0.0%  new_do_write
      1    0.0%    0.0%  _itoa_word
      1    0.0%    0.0%  __GI_strlen
      1    0.0%    0.0%  __GI___memcpy_sve
      1    0.0%    0.0%  _IO_file_write@@GLIBC_2.17
      1    0.0%    0.0%  _IO_default_xsputn

 [Summary]:
   ticks  total  nonlib   name
    353    3.3%    9.6%  JavaScript
   3333   31.2%   90.4%  C++
   2215   20.7%   60.1%  GC
   7010   65.5%          Shared libraries

 [C++ entry points]:
   ticks    cpp   total   name
    459   37.4%    4.3%  __GI___munmap
    225   18.3%    2.1%  __GI___mmap
    145   11.8%    1.4%  __GI___lll_lock_wake
    114    9.3%    1.1%  fputc
     97    7.9%    0.9%  __GI___libc_write
     50    4.1%    0.5%  __GI___madvise
     21    1.7%    0.2%  __GI___memset_generic
     17    1.4%    0.2%  __GI___libc_malloc
     13    1.1%    0.1%  _int_malloc
     12    1.0%    0.1%  std::ostream::put(char)@@GLIBCXX_3.4
     11    0.9%    0.1%  unlink_chunk.constprop.0
     11    0.9%    0.1%  _IO_fwrite
     10    0.8%    0.1%  std::ostream::sentry::sentry(std::ostream&)@@GLIBCXX_3.4
      8    0.7%    0.1%  _init
      5    0.4%    0.0%  __GI___pthread_cond_signal
      4    0.3%    0.0%  isprint
      4    0.3%    0.0%  __GI___libc_free
      3    0.2%    0.0%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)@@GLIBCXX_3.4.9
      3    0.2%    0.0%  std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)@@GLIBCXX_3.4
      2    0.2%    0.0%  malloc_consolidate
      2    0.2%    0.0%  __GI___strlen_asimd
      2    0.2%    0.0%  __GI___libc_read
      2    0.2%    0.0%  _IO_fflush
      1    0.1%    0.0%  syscall
