Statistical profiling result from isolate-0xffffb0b90000-27099-v8.log, (10457 ticks, 0 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     20    0.2%    0.6%  _int_free
     15    0.1%    0.4%  _int_malloc
     14    0.1%    0.4%  _init
     14    0.1%    0.4%  __GI___pthread_cond_signal
     13    0.1%    0.4%  std::ostream::put(char)@@GLIBCXX_3.4
     12    0.1%    0.3%  __GI___libc_malloc
      9    0.1%    0.3%  _IO_fwrite
      8    0.1%    0.2%  std::ostream::sentry::sentry(std::ostream&)@@GLIBCXX_3.4
      7    0.1%    0.2%  unlink_chunk.constprop.0
      7    0.1%    0.2%  _IO_fflush
      4    0.0%    0.1%  syscall
      3    0.0%    0.1%  malloc_consolidate
      3    0.0%    0.1%  __GI___printf_fp_l
      3    0.0%    0.1%  __GI___memcpy_sve
      2    0.0%    0.1%  std::_Rb_tree_decrement(std::_Rb_tree_node_base*)@@GLIBCXX_3.4
      2    0.0%    0.1%  isprint
      2    0.0%    0.1%  __vfprintf_internal
      2    0.0%    0.1%  __GI_memcpy
      2    0.0%    0.1%  __GI___libc_free
      2    0.0%    0.1%  _IO_file_xsputn@@GLIBC_2.17
      1    0.0%    0.0%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<unsigned long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, unsigned long) const@@GLIBCXX_3.4
      1    0.0%    0.0%  std::locale::id::_M_id() const@@GLIBCXX_3.4
      1    0.0%    0.0%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)@@GLIBCXX_3.4.9
      1    0.0%    0.0%  std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)@@GLIBCXX_3.4
      1    0.0%    0.0%  operator new[](unsigned long)@@GLIBCXX_3.4
      1    0.0%    0.0%  operator delete(void*, unsigned long)@@CXXABI_1.3.9
      1    0.0%    0.0%  new_do_write
      1    0.0%    0.0%  hack_digit
      1    0.0%    0.0%  __vsnprintf_internal
      1    0.0%    0.0%  __mpn_divrem
      1    0.0%    0.0%  __GI_strlen
      1    0.0%    0.0%  __GI___pthread_enable_asynccancel
      1    0.0%    0.0%  __GI___pthread_disable_asynccancel
      1    0.0%    0.0%  _IO_do_write@@GLIBC_2.17
      1    0.0%    0.0%  _IO_default_xsputn

 [Summary]:
   ticks  total  nonlib   name
    351    3.4%   10.0%  JavaScript
   3168   30.3%   90.0%  C++
   2064   19.7%   58.7%  GC
   6938   66.3%          Shared libraries

 [C++ entry points]:
   ticks    cpp   total   name
    453   37.5%    4.3%  __GI___munmap
    239   19.8%    2.3%  __GI___mmap
    135   11.2%    1.3%  fputc
    130   10.8%    1.2%  __GI___lll_lock_wake
     95    7.9%    0.9%  __GI___libc_write
     39    3.2%    0.4%  __GI___madvise
     31    2.6%    0.3%  __GI___memset_generic
     11    0.9%    0.1%  _init
     10    0.8%    0.1%  _int_malloc
      8    0.7%    0.1%  std::ostream::put(char)@@GLIBCXX_3.4
      8    0.7%    0.1%  __GI___libc_malloc
      7    0.6%    0.1%  unlink_chunk.constprop.0
      5    0.4%    0.0%  __GI___pthread_cond_signal
      5    0.4%    0.0%  _IO_fwrite
      5    0.4%    0.0%  _IO_fflush
      3    0.2%    0.0%  std::ostream::sentry::sentry(std::ostream&)@@GLIBCXX_3.4
      3    0.2%    0.0%  malloc_consolidate
      3    0.2%    0.0%  __GI___memcpy_sve
      2    0.2%    0.0%  syscall
      2    0.2%    0.0%  std::_Rb_tree_decrement(std::_Rb_tree_node_base*)@@GLIBCXX_3.4
      2    0.2%    0.0%  isprint
      2    0.2%    0.0%  _int_free
      1    0.1%    0.0%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<unsigned long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, unsigned long) const@@GLIBCXX_3.4
      1    0.1%    0.0%  std::locale::id::_M_id() const@@GLIBCXX_3.4
      1    0.1%    0.0%  std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)@@GLIBCXX_3.4
      1    0.1%    0.0%  new_do_write
      1    0.1%    0.0%  __GI_memcpy
      1    0.1%    0.0%  __GI___pthread_enable_asynccancel
      1    0.1%    0.0%  __GI___pthread_disable_asynccancel
      1    0.1%    0.0%  _IO_file_xsputn@@GLIBC_2.17
      1    0.1%    0.0%  _IO_do_write@@GLIBC_2.17

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
   6929   66.3%  /usr/bin/node
   6224   89.8%    JS: *<anonymous> /root/jssm/dist/jssm.es5.nonmin.cjs:20145:14
   6224  100.0%      /usr/bin/node
   6224  100.0%        JS: ~compile /root/jssm/dist/jssm.es5.nonmin.cjs:20111:17
   6224  100.0%          JS: ~make /root/jssm/dist/jssm.es5.nonmin.cjs:20213:14
   6224  100.0%            JS: ~sm /root/jssm/dist/jssm.es5.nonmin.cjs:23075:12
     75    1.1%    JS: *peg$parseSubexp /root/jssm/dist/jssm.es5.nonmin.cjs:11874:29
     58   77.3%      JS: *peg$parseTermList /root/jssm/dist/jssm.es5.nonmin.cjs:18801:31
     58  100.0%        JS: ~peg$parseDocument /root/jssm/dist/jssm.es5.nonmin.cjs:520:31
     58  100.0%          JS: ~peg$parse /root/jssm/dist/jssm.es5.nonmin.cjs:349:19
     58  100.0%            JS: ~wrap_parse /root/jssm/dist/jssm.es5.nonmin.cjs:19961:20
     17   22.7%      JS: *peg$parseSubexp /root/jssm/dist/jssm.es5.nonmin.cjs:11874:29
     17  100.0%        JS: *peg$parseTermList /root/jssm/dist/jssm.es5.nonmin.cjs:18801:31
     17  100.0%          JS: ~peg$parseDocument /root/jssm/dist/jssm.es5.nonmin.cjs:520:31
     17  100.0%            JS: ~peg$parse /root/jssm/dist/jssm.es5.nonmin.cjs:349:19

   2129   20.4%  __GI___munmap
    452   21.2%    JS: *<anonymous> /root/jssm/dist/jssm.es5.nonmin.cjs:20145:14
    452  100.0%      /usr/bin/node
    452  100.0%        JS: ~compile /root/jssm/dist/jssm.es5.nonmin.cjs:20111:17
    452  100.0%          JS: ~make /root/jssm/dist/jssm.es5.nonmin.cjs:20213:14
    452  100.0%            JS: ~sm /root/jssm/dist/jssm.es5.nonmin.cjs:23075:12

    239    2.3%  __GI___mmap
    239  100.0%    JS: *<anonymous> /root/jssm/dist/jssm.es5.nonmin.cjs:20145:14
    239  100.0%      /usr/bin/node
    239  100.0%        JS: ~compile /root/jssm/dist/jssm.es5.nonmin.cjs:20111:17
    239  100.0%          JS: ~make /root/jssm/dist/jssm.es5.nonmin.cjs:20213:14
    239  100.0%            JS: ~sm /root/jssm/dist/jssm.es5.nonmin.cjs:23075:12

    239    2.3%  __GI___lll_lock_wake
     11    4.6%    JS: *peg$parseTermList /root/jssm/dist/jssm.es5.nonmin.cjs:18801:31
     11  100.0%      JS: ~peg$parseDocument /root/jssm/dist/jssm.es5.nonmin.cjs:520:31
     11  100.0%        JS: ~peg$parse /root/jssm/dist/jssm.es5.nonmin.cjs:349:19
     11  100.0%          JS: ~wrap_parse /root/jssm/dist/jssm.es5.nonmin.cjs:19961:20
     11  100.0%            JS: ~make /root/jssm/dist/jssm.es5.nonmin.cjs:20213:14
      9    3.8%    JS: ^peg$parseSubexp /root/jssm/dist/jssm.es5.nonmin.cjs:11874:29
      6   66.7%      JS: ^peg$parseSubexp /root/jssm/dist/jssm.es5.nonmin.cjs:11874:29
      6  100.0%        JS: ^peg$parseExp /root/jssm/dist/jssm.es5.nonmin.cjs:12096:26
      6  100.0%          JS: ^peg$parseTerm /root/jssm/dist/jssm.es5.nonmin.cjs:18778:27
